winner,pokemon1_p1,pokemon2_p1,pokemon3_p1,pokemon4_p1,pokemon5_p1,pokemon6_p1,pokemon1_p2,pokemon2_p2,pokemon3_p2,pokemon4_p2,pokemon5_p2,pokemon6_p2
1,Ogerpon,Milotic,Rillaboom,Landorus,Tornadus,Chien,Iron Hands,Landorus,Flutter Mane,Ogerpon,Kingambit,Chi
1,Tornadus,Arcanine,Urshifu,Flutter Mane,Chien,Rillaboom,Armarouge,Hawlucha,Indeedee,Stonjourner,Azumarill,Volcarona
1,Regidrago,Farigiraf,Urshifu,Flutter Mane,Chien,Tornadus,Thundurus,Pelipper,Tornadus,Arcanine,Amoonguss,Urshifu
2,Annihilape,Sinistcha,Grimmsnarl,Landorus,Bellibolt,Corviknight,Pelipper,Urshifu,Enamorus,Basculegion,Indeedee,Tornadus
1,Ogerpon,Thundurus,Chi,Flutter Mane,Dondozo,Tatsugiri,Weezing,Flutter Mane,Arcanine,Roaring Moon,Urshifu,Brute Bonnet
2,Wo,Iron Bundle,Flutter Mane,Landorus,Gholdengo,Heatran,Volcarona,Rabsca,Scizor,Frosmoth,Vivillon,Kleavor
2,Vaporeon,Arcanine,Rillaboom,Gliscor,Zapdos,Vivillon,Roaring Moon,Clefairy,Heatran,Landorus,Rillaboom,Flutter Mane
2,Rillaboom,Hawlucha,Rotom,Amoonguss,Heatran,Scream Tail,Roaring Moon,Landorus,Flutter Mane,Amoonguss,Iron Hands,Ogerpon
1,Iron Bundle,Heatran,Dipplin,Landorus,Iron Hands,Ogerpon,Oranguru,Kommo,Grimmsnarl,Clefairy,Indeedee,Armarouge
2,Ceruledge,Sinistcha,Landorus,Kingambit,Ogerpon,Chien,Espathra,Flutter Mane,Chi,Landorus,Ogerpon,Rillaboom
1,Ninetales,Glaceon,Arcanine,Slowbro,Zoroark,Weezing,Arcanine,Ogerpon,Flutter Mane,Iron Hands,Tornadus,Sinistcha
1,Moltres,Jolteon,Sinistcha,Arcanine,Cetitan,Empoleon,Palafin,Scream Tail,Flutter Mane,Amoonguss,Arcanine,Gothitelle
2,Chien,Shiftry,Dragonite,Heatran,Gastrodon,Bisharp,Wo,Iron Bundle,Flutter Mane,Landorus,Gholdengo,Heatran
1,Sableye,Rillaboom,Urshifu,Ogerpon,Scream Tail,Kingambit,Urshifu,Farigiraf,Torkoal,Flutter Mane,Chi,Ogerpon
2,Tornadus,Urshifu,Chien,Flutter Mane,Arcanine,Rillaboom,Urshifu,Tornadus,Arcanine,Kingambit,Rillaboom,Flutter Mane
2,Sylveon,Illumise,Landorus,Roaring Moon,Amoonguss,Farigiraf,Roaring Moon,Amoonguss,Flutter Mane,Heatran,Iron Hands,Landorus
2,Tornadus,Urshifu,Chien,Flutter Mane,Arcanine,Rillaboom,Urshifu,Tornadus,Arcanine,Kingambit,Rillaboom,Flutter Mane
2,Sylveon,Illumise,Landorus,Roaring Moon,Amoonguss,Farigiraf,Roaring Moon,Amoonguss,Flutter Mane,Heatran,Iron Hands,Landorus
2,Cresselia,Torkoal,Iron Hands,Chien,Gastrodon,Sinistcha,Garchomp,Urshifu,Heatran,Staraptor,Iron Bundle,Amoonguss
1,Tornadus,Heatran,Flutter Mane,Landorus,Amoonguss,Ogerpon,Tornadus,Urshifu,Arcanine,Gholdengo,Rillaboom,Maushold
2,Tornadus,Heatran,Flutter Mane,Landorus,Amoonguss,Ogerpon,Tornadus,Urshifu,Arcanine,Gholdengo,Rillaboom,Maushold
1,Tornadus,Heatran,Flutter Mane,Landorus,Amoonguss,Ogerpon,Tornadus,Urshifu,Arcanine,Gholdengo,Rillaboom,Maushold
1,Flutter Mane,Roaring Moon,Heatran,Amoonguss,Landorus,Iron Hands,Roaring Moon,Clefairy,Heatran,Landorus,Rillaboom,Flutter Mane
2,Gholdengo,Tornadus,Ogerpon,Iron Hands,Arcanine,Flutter Mane,Volcarona,Rabsca,Scizor,Frosmoth,Vivillon,Kleavor
2,Empoleon,Landorus,Urshifu,Sinistcha,Heatran,Tornadus,Moltres,Sinistcha,Ninetales,Landorus,Iron Hands,Heatran
2,Espathra,Indeedee,Chien,Dragonite,Amoonguss,Ursaluna,Dondozo,Tatsugiri,Ninetales,Glimmora,Ogerpon,Iron Hands
1,Tornadus,Urshifu,Chien,Flutter Mane,Arcanine,Rillaboom,Urshifu,Tornadus,Arcanine,Kingambit,Rillaboom,Flutter Mane
2,Baxcalibur,Regieleki,Tornadus,Sinistcha,Sneasler,Clefairy,Sableye,Gyarados,Kingambit,Iron Treads,Arcanine,Clodsire
2,Sinistcha,Landorus,Iron Hands,Arcanine,Moltres,Cresselia,Sinistcha,Ogerpon,Ninetales,Heatran,Tornadus,Iron Hands
1,Roaring Moon,Amoonguss,Flutter Mane,Heatran,Iron Hands,Landorus,Vikavolt,Oranguru,Ursaluna,Iron Hands,Annihilape,Ogerpon
1,Roaring Moon,Amoonguss,Flutter Mane,Heatran,Iron Hands,Landorus,Vikavolt,Oranguru,Ursaluna,Iron Hands,Annihilape,Ogerpon
2,Roaring Moon,Amoonguss,Flutter Mane,Heatran,Iron Hands,Landorus,Vikavolt,Oranguru,Ursaluna,Iron Hands,Annihilape,Ogerpon
1,Gothitelle,Landorus,Scream Tail,Kingambit,Sinistcha,Garchomp,Flutter Mane,Arcanine,Amoonguss,Chien,Garchomp,Kingambit
2,Chi,Iron Hands,Munkidori,Landorus,Iron Bundle,Farigiraf,Ninetales,Iron Hands,Sinistcha,Cresselia,Snorlax,Arcanine
2,Kingambit,Dragonite,Amoonguss,Chien,Ogerpon,Urshifu,Tornadus,Urshifu,Iron Hands,Chien,Arcanine,Flutter Mane
2,Urshifu,Tornadus,Arcanine,Kingambit,Rillaboom,Flutter Mane,Dondozo,Tatsugiri,Ninetales,Glimmora,Ogerpon,Iron Hands
2,Kingambit,Dragonite,Amoonguss,Chien,Ogerpon,Urshifu,Tornadus,Urshifu,Iron Hands,Chien,Arcanine,Flutter Mane
2,Urshifu,Tornadus,Arcanine,Kingambit,Rillaboom,Flutter Mane,Dondozo,Tatsugiri,Ninetales,Glimmora,Ogerpon,Iron Hands
2,Volcarona,Rillaboom,Urshifu,Tornadus,Roaring Moon,Flutter Mane,Sableye,Gyarados,Kingambit,Iron Treads,Arcanine,Clodsire
1,Amoonguss,Roaring Moon,Heatran,Landorus,Iron Hands,Flutter Mane,Toxtricity,Noivern,Lilligant,Goodra,Dedenne,Krookodile
1,Zapdos,Ninetales,Indeedee,Armarouge,Ogerpon,Baxcalibur,Salamence,Pelipper,Urshifu,Ogerpon,Gholdengo,Iron Hands
2,Amoonguss,Roaring Moon,Heatran,Landorus,Iron Hands,Flutter Mane,Toxtricity,Noivern,Lilligant,Goodra,Dedenne,Krookodile
2,Tornadus,Tinkaton,Arcanine,Annihilape,Maushold,Empoleon,Salamence,Pelipper,Urshifu,Ogerpon,Gholdengo,Iron Hands
1,Landorus,Tornadus,Arcanine,Flutter Mane,Brambleghast,Urshifu,Tornadus,Flutter Mane,Roaring Moon,Ogerpon,Clefairy,Iron Hands
2,Ogerpon,Chien,Urshifu,Tornadus,Iron Bundle,Dragonite,Ogerpon,Clefairy,Regidrago,Arcanine,Urshifu,Tornadus
1,Chi,Ogerpon,Kommo,Fezandipiti,Illumise,Sinistcha,Shiftry,Tornadus,Poliwrath,Chi,Flutter Mane,Landorus
1,Salamence,Pelipper,Urshifu,Ogerpon,Gholdengo,Iron Hands,Ninetales,Chien,Heatran,Urshifu,Ogerpon,Uxie
1,Heatran,Iron Hands,Roaring Moon,Amoonguss,Flutter Mane,Landorus,Rillaboom,Flutter Mane,Grimmsnarl,Sinistcha,Ursaluna,Cresselia
1,Amoonguss,Roaring Moon,Heatran,Landorus,Iron Hands,Flutter Mane,Toxtricity,Noivern,Lilligant,Goodra,Dedenne,Krookodile
2,Thundurus,Enamorus,Sneasler,Rillaboom,Ogerpon,Heatran,Sneasler,Rillaboom,Arcanine,Baxcalibur,Farigiraf,Maushold
2,Urshifu,Landorus,Tornadus,Rillaboom,Flutter Mane,Ogerpon,Articuno,Maushold,Enamorus,Garchomp,Orthworm,Clawitzer
1,Ninetales,Chien,Heatran,Urshifu,Ogerpon,Uxie,Volcarona,Rabsca,Scizor,Frosmoth,Vivillon,Kleavor
2,Landorus,Iron Hands,Chien,Flutter Mane,Ogerpon,Arcanine,Ogerpon,Thundurus,Chi,Flutter Mane,Dondozo,Tatsugiri
2,Chien,Shiftry,Dragonite,Heatran,Kingambit,Gastrodon,Articuno,Maushold,Enamorus,Garchomp,Orthworm,Clawitzer
2,Dusclops,Politoed,Sinistcha,Glastrier,Hatterene,Gothitelle,Ursaluna,Iron Hands,Farigiraf,Flutter Mane,Amoonguss,Empoleon
1,Ursaluna,Dondozo,Spiritomb,Annihilape,Chi,Tatsugiri,Kingambit,Urshifu,Landorus,Flutter Mane,Ogerpon,Tornadus
2,Grimmsnarl,Urshifu,Garganacl,Flutter Mane,Roaring Moon,Ogerpon,Tornadus,Meowscarada,Dondozo,Tatsugiri,Flutter Mane,Glimmora
2,Flutter Mane,Chi,Urshifu,Landorus,Rillaboom,Thundurus,Ogerpon,Chien,Dondozo,Tatsugiri,Tornadus,Milotic
1,Roaring Moon,Iron Hands,Milotic,Rillaboom,Gholdengo,Arcanine,Iron Hands,Iron Bundle,Ogerpon,Heatran,Rillaboom,Landorus
1,Iron Hands,Chi,Flutter Mane,Landorus,Ogerpon,Amoonguss,Lycanroc,Iron Bundle,Tornadus,Urshifu,Farigiraf,Rillaboom
1,Farigiraf,Tornadus,Gholdengo,Urshifu,Flutter Mane,Brambleghast,Armarouge,Indeedee,Dondozo,Tatsugiri,Tornadus,Ogerpon
1,Gastrodon,Arcanine,Urshifu,Sylveon,Zapdos,Landorus,Tornadus,Flutter Mane,Heatran,Wyrdeer,Regieleki,Ogerpon
1,Dondozo,Tatsugiri,Flutter Mane,Chi,Glimmora,Iron Hands,Thundurus,Iron Bundle,Flutter Mane,Landorus,Heatran,Wo
1,Glimmora,Ogerpon,Iron Hands,Flutter Mane,Dondozo,Tatsugiri,Dragonite,Chien,Heatran,Rillaboom,Urshifu,Farigiraf
1,Chi,Flutter Mane,Ogerpon,Landorus,Iron Hands,Kingambit,Urshifu,Gholdengo,Moltres,Arcanine,Fezandipiti,Sinistcha
2,Tornadus,Flutter Mane,Chi,Iron Hands,Landorus,Ogerpon,Gothitelle,Azumarill,Sinistcha,Heatran,Landorus,Iron Hands
1,Sinistcha,Okidogi,Moltres,Grimmsnarl,Arcanine,Gastrodon,Gastrodon,Arcanine,Urshifu,Sylveon,Zapdos,Landorus
2,Chien,Urshifu,Tornadus,Gholdengo,Flutter Mane,Landorus,Urshifu,Flutter Mane,Ogerpon,Tornadus,Iron Hands,Kingambit
1,Fezandipiti,Landorus,Dondozo,Tatsugiri,Gholdengo,Ogerpon,Staraptor,Ursaluna,Scream Tail,Urshifu,Farigiraf,Torkoal
2,Ogerpon,Landorus,Iron Hands,Flutter Mane,Roaring Moon,Gholdengo,Tornadus,Urshifu,Flutter Mane,Chien,Iron Hands,Kingambit
1,Armarouge,Indeedee,Torkoal,Ursaluna,Gallade,Okidogi,Thundurus,Pelipper,Tornadus,Arcanine,Amoonguss,Urshifu
2,Landorus,Tornadus,Chi,Ogerpon,Flutter Mane,Chien,Roaring Moon,Rillaboom,Urshifu,Weezing,Flutter Mane,Ogerpon
1,Arcanine,Chien,Rillaboom,Urshifu,Flutter Mane,Landorus,Flutter Mane,Chi,Urshifu,Landorus,Rillaboom,Thundurus
1,Flutter Mane,Chi,Iron Hands,Cresselia,Ursaluna,Urshifu,Landorus,Okidogi,Chi,Ogerpon,Flutter Mane,Chien
1,Dondozo,Tatsugiri,Rillaboom,Volcarona,Kingambit,Clefairy,Grimmsnarl,Landorus,Goodra,Munkidori,Ting,Cresselia
2,Dragonite,Flamigo,Flutter Mane,Tauros,Cryogonal,Salazzle,Chien,Rillaboom,Arcanine,Urshifu,Tornadus,Flutter Mane
1,Arcanine,Chien,Rillaboom,Urshifu,Flutter Mane,Iron Hands,Rillaboom,Urshifu,Dragonite,Chien,Farigiraf,Heatran
1,Tornadus,Sinistcha,Basculegion,Iron Hands,Arcanine,Ninetales,Sableye,Iron Hands,Baxcalibur,Arcanine,Empoleon,Sinistcha
1,Ogerpon,Landorus,Iron Hands,Flutter Mane,Roaring Moon,Gholdengo,Lycanroc,Tornadus,Urshifu,Farigiraf,Sinistcha,Iron Bundle
2,Chien,Landorus,Urshifu,Ogerpon,Dragonite,Rillaboom,Arcanine,Chien,Rillaboom,Ogerpon,Flutter Mane,Urshifu
2,Chi,Flutter Mane,Dondozo,Sinistcha,Iron Bundle,Arcanine,Ursaluna,Thundurus,Arcanine,Ogerpon,Roaring Moon,Gholdengo
2,Ogerpon,Landorus,Iron Hands,Flutter Mane,Roaring Moon,Gholdengo,Roaring Moon,Flutter Mane,Dragonite,Chien,Armarouge,Indeedee
1,Tornadus,Arcanine,Urshifu,Flutter Mane,Chien,Rillaboom,Regieleki,Iron Bundle,Rillaboom,Urshifu,Ogerpon,Landorus
2,Armarouge,Hawlucha,Indeedee,Stonjourner,Azumarill,Volcarona,Indeedee,Torkoal,Armarouge,Ursaluna,Urshifu,Roaring Moon
1,Dondozo,Tatsugiri,Ninetales,Glimmora,Iron Hands,Ogerpon,Ninetales,Sandy Shocks,Flutter Mane,Roaring Moon,Chi,Lilligant
1,Armarouge,Indeedee,Sneasler,Landorus,Torkoal,Gallade,Brambleghast,Roaring Moon,Weezing,Flutter Mane,Urshifu,Heatran
2,Thundurus,Iron Bundle,Flutter Mane,Landorus,Heatran,Wo,Ogerpon,Landorus,Iron Hands,Flutter Mane,Roaring Moon,Gholdengo
1,Kingambit,Landorus,Iron Hands,Amoonguss,Ogerpon,Flutter Mane,Dondozo,Tatsugiri,Glimmora,Heatran,Rillaboom,Kleavor
1,Landorus,Iron Hands,Sinistcha,Heatran,Ogerpon,Chien,Ogerpon,Milotic,Rillaboom,Landorus,Tornadus,Chien
1,Armarouge,Indeedee,Hatterene,Ursaluna,Lilligant,Torkoal,Iron Bundle,Heatran,Ogerpon,Amoonguss,Iron Hands,Urshifu
1,Flutter Mane,Chi,Urshifu,Landorus,Rillaboom,Thundurus,Sableye,Amoonguss,Ogerpon,Rillaboom,Flutter Mane,Tyranitar
2,Dragonite,Flamigo,Flutter Mane,Tauros,Cryogonal,Salazzle,Armarouge,Indeedee,Torkoal,Ursaluna,Urshifu,Lilligant
1,Chien,Dragonite,Urshifu,Rillaboom,Heatran,Farigiraf,Armarouge,Indeedee,Torkoal,Flutter Mane,Ogerpon,Landorus
1,Dusclops,Ursaluna,Vivillon,Sylveon,Heatran,Indeedee,Chi,Iron Hands,Landorus,Dusclops,Ogerpon,Ursaluna
1,Sinistcha,Okidogi,Moltres,Grimmsnarl,Arcanine,Gastrodon,Ogerpon,Flutter Mane,Goodra,Wyrdeer,Rillaboom,Grimmsnarl
2,Flutter Mane,Sinistcha,Heatran,Urshifu,Iron Hands,Landorus,Shiftry,Flutter Mane,Dragonite,Gastrodon,Sylveon,Arcanine
1,Urshifu,Flutter Mane,Ogerpon,Tornadus,Iron Hands,Kingambit,Urshifu,Flutter Mane,Chi,Tornadus,Landorus,Sinistcha
2,Scizor,Tyranitar,Arcanine,Milotic,Sinistcha,Flutter Mane,Chien,Landorus,Urshifu,Flutter Mane,Iron Hands,Amoonguss
1,Illumise,Enamorus,Landorus,Shiftry,Chi,Arcanine,Tornadus,Landorus,Rillaboom,Ogerpon,Flutter Mane,Chi
1,Ursaluna,Indeedee,Armarouge,Hatterene,Torkoal,Lilligant,Flutter Mane,Chi,Urshifu,Landorus,Rillaboom,Thundurus
1,Ogerpon,Flutter Mane,Goodra,Wyrdeer,Rillaboom,Grimmsnarl,Baxcalibur,Ninetales,Landorus,Zapdos,Heatran,Iron Hands
2,Flutter Mane,Chi,Urshifu,Landorus,Rillaboom,Thundurus,Tornadus,Arcanine,Gastrodon,Rillaboom,Chi,Iron Valiant
1,Roaring Moon,Weezing,Urshifu,Ogerpon,Indeedee,Landorus,Dondozo,Urshifu,Tatsugiri,Tornadus,Arcanine,Flutter Mane
1,Ogerpon,Landorus,Iron Hands,Flutter Mane,Roaring Moon,Gholdengo,Dragonite,Chien,Dondozo,Tatsugiri,Flutter Mane,Chi
1,Dondozo,Tatsugiri,Flutter Mane,Fezandipiti,Iron Hands,Chi,Kommo,Goodra,Gastrodon,Iron Hands,Landorus,Arcanine
1,Articuno,Maushold,Enamorus,Garchomp,Orthworm,Clawitzer,Chien,Urshifu,Arcanine,Tornadus,Flutter Mane,Rillaboom
1,Umbreon,Dragonite,Torkoal,Dusclops,Ursaluna,Gengar,Gothitelle,Munchlax,Flutter Mane,Sinistcha,Empoleon,Torkoal
1,Regieleki,Sinistcha,Arcanine,Masquerain,Milotic,Flutter Mane,Milotic,Roaring Moon,Clefairy,Typhlosion,Espathra,Sinistcha
1,Salamence,Pelipper,Urshifu,Ogerpon,Gholdengo,Iron Hands,Tornadus,Arcanine,Iron Hands,Gholdengo,Urshifu,Ogerpon
2,Grafaiai,Zangoose,Chien,Ogerpon,Dragonite,Sinistcha,Salamence,Ogerpon,Chien,Tornadus,Urshifu,Arcanine
2,Gliscor,Pelipper,Basculegion,Landorus,Rillaboom,Ogerpon,Scizor,Chien,Tornadus,Pelipper,Ludicolo,Zapdos
1,Sableye,Rillaboom,Urshifu,Ogerpon,Scream Tail,Kingambit,Dragonite,Chien,Tornadus,Flutter Mane,Ogerpon,Rillaboom
1,Heatran,Flutter Mane,Iron Hands,Urshifu,Tornadus,Farigiraf,Ogerpon,Flutter Mane,Landorus,Iron Hands,Farigiraf,Chi
1,Roaring Moon,Clefairy,Heatran,Landorus,Rillaboom,Flutter Mane,Rillaboom,Sneasler,Houndstone,Landorus,Chandelure,Ogerpon
1,Sableye,Rillaboom,Urshifu,Ogerpon,Scream Tail,Kingambit,Flutter Mane,Tornadus,Ogerpon,Rillaboom,Urshifu,Arcanine
1,Tornadus,Urshifu,Gholdengo,Chien,Dragapult,Qwilfish,Dondozo,Tatsugiri,Glimmora,Flutter Mane,Ninetales,Iron Hands
1,Pincurchin,Iron Jugulis,Iron Hands,Iron Moth,Iron Bundle,Iron Thorns,Flutter Mane,Chien,Iron Hands,Heatran,Ogerpon,Landorus
1,Umbreon,Dragonite,Torkoal,Dusclops,Ursaluna,Gengar,Arcanine,Flutter Mane,Amoonguss,Ogerpon,Urshifu,Heatran
2,Amoonguss,Salamence,Pelipper,Dragonite,Palafin,Toxtricity,Hariyama,Chi,Wo,Great Tusk,Dragapult,Clodsire
1,Infernape,Rillaboom,Landorus,Chien,Ogerpon,Flutter Mane,Roaring Moon,Clefairy,Heatran,Landorus,Rillaboom,Flutter Mane
2,Kommo,Clefairy,Iron Bundle,Chi,Rillaboom,Landorus,Sinistcha,Iron Hands,Dondozo,Grimmsnarl,Gholdengo,Azelf
2,Amoonguss,Salamence,Pelipper,Dragonite,Palafin,Toxtricity,Hariyama,Chi,Wo,Great Tusk,Dragapult,Clodsire
1,Tatsugiri,Decidueye,Indeedee,Cinderace,Dondozo,Sneasler,Ogerpon,Roaring Moon,Regieleki,Vaporeon,Sylveon,Landorus
1,Iron Hands,Ogerpon,Cresselia,Ursaluna,Chien,Enamorus,Iron Bundle,Salamence,Sylveon,Urshifu,Kingambit,Arcanine
1,Wo,Iron Bundle,Flutter Mane,Landorus,Gholdengo,Heatran,Regieleki,Scizor,Ting,Barraskewda,Infernape,Iron Bundle
1,Dragapult,Chien,Palafin,Arcanine,Flutter Mane,Sinistcha,Landorus,Urshifu,Flutter Mane,Chien,Amoonguss,Iron Hands
1,Cinderace,Landorus,Sinistcha,Rillaboom,Milotic,Tornadus,Empoleon,Kleavor,Ogerpon,Heatran,Cyclizar,Gyarados
2,Tornadus,Landorus,Flutter Mane,Ogerpon,Rillaboom,Chien,Magcargo,Flamigo,Clefairy,Iron Hands,Landorus,Flutter Mane
2,Gliscor,Shiftry,Alomomola,Volcarona,Annihilape,Blissey,Sinistcha,Ogerpon,Ninetales,Heatran,Tornadus,Iron Hands
2,Sableye,Maushold,Milotic,Landorus,Moltres,Clefairy,Urshifu,Krookodile,Flamigo,Skeledirge,Barraskewda,Amoonguss
2,Lucario,Grimmsnarl,Weezing,Goodra,Gastrodon,Enamorus,Regieleki,Scizor,Ting,Barraskewda,Infernape,Iron Bundle
